"序号","公司名称","国家","城市","官网","客户类型","主营产品","产品匹配点","来源链接","WhatsApp状态","WhatsApp/电话","邮箱状态","邮箱","LinkedIn","联系人","职位","AI评分","优先级","AI分析","首封英文开发信","WhatsApp开场白","CRM状态","下次跟进时间","备注"
"1","Kinsman Kitchens","澳洲","Sydney","https://kinsman.com.au/","Kitchen Company / Designer","厨房、衣柜、洗衣房、收纳系统","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://kinsman.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Kinsman%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","89","A","Kinsman Kitchens 的公开业务与 厨房、衣柜、洗衣房、收纳系统 相关，客户类型为 Kitchen Company / Designer，适合按 A 级客户进入 CRM。","Subject: Kinsman Kitchens and custom cabinetry supply

Hi Kinsman Kitchens team,

I noticed that Kinsman Kitchens works with 厨房、衣柜、洗衣房、收纳系统. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Kinsman Kitchens team, this is [Your Name]. I saw that your company works with 厨房、衣柜、洗衣房、收纳系统. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"2","Freedom Kitchens","澳洲","Sydney","https://freedomkitchens.com.au/","Kitchen Company / Designer","厨房、衣柜、洗衣房、家居收纳","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://freedomkitchens.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Freedom%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","88","A","Freedom Kitchens 的公开业务与 厨房、衣柜、洗衣房、家居收纳 相关，客户类型为 Kitchen Company / Designer，适合按 A 级客户进入 CRM。","Subject: Freedom Kitchens and custom cabinetry supply

Hi Freedom Kitchens team,

I noticed that Freedom Kitchens works with 厨房、衣柜、洗衣房、家居收纳. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Freedom Kitchens team, this is [Your Name]. I saw that your company works with 厨房、衣柜、洗衣房、家居收纳. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"3","Wallspan Kitchens & Wardrobes","澳洲","Adelaide","https://www.wallspan.com.au/","Kitchen Company / Designer","厨房、衣柜、洗衣房、收纳","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.wallspan.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Wallspan%20Kitchens%20%26%20Wardrobes","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","86","A","Wallspan Kitchens & Wardrobes 的公开业务与 厨房、衣柜、洗衣房、收纳 相关，客户类型为 Kitchen Company / Designer，适合按 A 级客户进入 CRM。","Subject: Wallspan Kitchens & Wardrobes and custom cabinetry supply

Hi Wallspan Kitchens & Wardrobes team,

I noticed that Wallspan Kitchens & Wardrobes works with 厨房、衣柜、洗衣房、收纳. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Wallspan Kitchens & Wardrobes team, this is [Your Name]. I saw that your company works with 厨房、衣柜、洗衣房、收纳. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"4","Kitchen Connection","澳洲","Brisbane","https://www.kitchenconnection.com.au/","Kitchen Company / Designer","厨房翻新、橱柜、设计服务","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.kitchenconnection.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Kitchen%20Connection","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","85","A","Kitchen Connection 的公开业务与 厨房翻新、橱柜、设计服务 相关，客户类型为 Kitchen Company / Designer，适合按 A 级客户进入 CRM。","Subject: Kitchen Connection and custom cabinetry supply

Hi Kitchen Connection team,

I noticed that Kitchen Connection works with 厨房翻新、橱柜、设计服务. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Kitchen Connection team, this is [Your Name]. I saw that your company works with 厨房翻新、橱柜、设计服务. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"5","Apollo Kitchens","澳洲","Sydney","https://www.apollokitchens.com.au/","Kitchen Company / Builder Supplier","厨房、joinery、住宅和商业项目","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.apollokitchens.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Apollo%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","84","B","Apollo Kitchens 的公开业务与 厨房、joinery、住宅和商业项目 相关，客户类型为 Kitchen Company / Builder Supplier，适合按 B 级客户进入 CRM。","Subject: Apollo Kitchens and custom cabinetry supply

Hi Apollo Kitchens team,

I noticed that Apollo Kitchens works with 厨房、joinery、住宅和商业项目. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Apollo Kitchens team, this is [Your Name]. I saw that your company works with 厨房、joinery、住宅和商业项目. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"6","Kaboodle Kitchen","澳洲","Melbourne","https://www.kaboodle.com.au/","Kitchen Company / Importer","平板包装厨房、橱柜、门板","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.kaboodle.com.au/contact-us","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Kaboodle%20Kitchen","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","84","B","Kaboodle Kitchen 的公开业务与 平板包装厨房、橱柜、门板 相关，客户类型为 Kitchen Company / Importer，适合按 B 级客户进入 CRM。","Subject: Kaboodle Kitchen and custom cabinetry supply

Hi Kaboodle Kitchen team,

I noticed that Kaboodle Kitchen works with 平板包装厨房、橱柜、门板. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Kaboodle Kitchen team, this is [Your Name]. I saw that your company works with 平板包装厨房、橱柜、门板. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"7","Bunnings","澳洲","Melbourne","https://www.bunnings.com.au/","Importer / Retailer","建材、厨房、门、衣柜、家具相关品类","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.bunnings.com.au/contact-us","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Bunnings","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","82","B","Bunnings 的公开业务与 建材、厨房、门、衣柜、家具相关品类 相关，客户类型为 Importer / Retailer，适合按 B 级客户进入 CRM。","Subject: Bunnings and custom cabinetry supply

Hi Bunnings team,

I noticed that Bunnings works with 建材、厨房、门、衣柜、家具相关品类. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Bunnings team, this is [Your Name]. I saw that your company works with 建材、厨房、门、衣柜、家具相关品类. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"8","Harrington Kitchens","澳洲","Sydney","https://www.harringtonkitchens.com.au/","Kitchen Company / Designer","厨房、洗衣房、浴室柜、定制 joinery","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.harringtonkitchens.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Harrington%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","82","B","Harrington Kitchens 的公开业务与 厨房、洗衣房、浴室柜、定制 joinery 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Harrington Kitchens and custom cabinetry supply

Hi Harrington Kitchens team,

I noticed that Harrington Kitchens works with 厨房、洗衣房、浴室柜、定制 joinery. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Harrington Kitchens team, this is [Your Name]. I saw that your company works with 厨房、洗衣房、浴室柜、定制 joinery. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"9","Carrera By Design","澳洲","Sydney","https://www.carrerabydesign.com.au/","Designer / Kitchen Company","设计型厨房、浴室、衣柜、joinery","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.carrerabydesign.com.au/contact/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Carrera%20By%20Design","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","82","B","Carrera By Design 的公开业务与 设计型厨房、浴室、衣柜、joinery 相关，客户类型为 Designer / Kitchen Company，适合按 B 级客户进入 CRM。","Subject: Carrera By Design and custom cabinetry supply

Hi Carrera By Design team,

I noticed that Carrera By Design works with 设计型厨房、浴室、衣柜、joinery. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Carrera By Design team, this is [Your Name]. I saw that your company works with 设计型厨房、浴室、衣柜、joinery. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"10","Metricon Homes","澳洲","Melbourne","https://www.metricon.com.au/","Builder","住宅建造、厨房、衣柜、木门需求","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.metricon.com.au/contact-us","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Metricon%20Homes","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","82","B","Metricon Homes 的公开业务与 住宅建造、厨房、衣柜、木门需求 相关，客户类型为 Builder，适合按 B 级客户进入 CRM。","Subject: Metricon Homes and custom cabinetry supply

Hi Metricon Homes team,

I noticed that Metricon Homes works with 住宅建造、厨房、衣柜、木门需求. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Metricon Homes team, this is [Your Name]. I saw that your company works with 住宅建造、厨房、衣柜、木门需求. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"11","Hafele Australia","澳洲","National","https://www.hafele.com.au/","Importer / Distributor","家具五金、橱柜五金、厨房收纳","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.hafele.com.au/en/info/contact/578/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Hafele%20Australia","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","81","B","Hafele Australia 的公开业务与 家具五金、橱柜五金、厨房收纳 相关，客户类型为 Importer / Distributor，适合按 B 级客户进入 CRM。","Subject: Hafele Australia and custom cabinetry supply

Hi Hafele Australia team,

I noticed that Hafele Australia works with 家具五金、橱柜五金、厨房收纳. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Hafele Australia team, this is [Your Name]. I saw that your company works with 家具五金、橱柜五金、厨房收纳. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
"12","Impala Kitchens","澳洲","Sydney","https://www.impalakitchens.com.au/","Kitchen Company / Designer","厨房、浴室、洗衣房、定制 joinery","与全屋定制、橱柜、衣柜、木门或出口家具存在直接/相邻匹配。","https://www.impalakitchens.com.au/contact-us/","电话可核验WhatsApp","官网联系页核验；未发现可直接确认的公开 WhatsApp 号码","联系表单","未确认公开直邮；优先官网表单，邮箱为辅助补全","https://www.linkedin.com/search/results/companies/?keywords=Impala%20Kitchens","未公开","Procurement / Sourcing / Owner / Design Director / Project Manager","81","B","Impala Kitchens 的公开业务与 厨房、浴室、洗衣房、定制 joinery 相关，客户类型为 Kitchen Company / Designer，适合按 B 级客户进入 CRM。","Subject: Impala Kitchens and custom cabinetry supply

Hi Impala Kitchens team,

I noticed that Impala Kitchens works with 厨房、浴室、洗衣房、定制 joinery. We manufacture whole-house custom cabinetry, kitchen cabinets, wardrobes, wood doors, and export furniture for builders, designers, kitchen companies, and importers, with OEM/ODM support for project and retail programs.

Would it be useful if I send a short catalogue and capability sheet for cabinets, wardrobes, wood doors, and furniture packages?

Best regards,","Hi Impala Kitchens team, this is [Your Name]. I saw that your company works with 厨房、浴室、洗衣房、定制 joinery. We manufacture custom cabinetry, wardrobes, wood doors, and export furniture. May I send a short catalogue and project reference?","Verified","人工确认后 2 个工作日内跟进","工作流规则：不编造 WhatsApp、邮箱、联系人；发送前人工核验来源和联系方式。"
